"","sent_pair_id","verb_id","verb","classification","IO","frequency_rank","diff_avg","diff_gpt2","diff_gpt2_med","diff_gpt2_large","diff_gpt2_xl","mean_z_DOsentence","mean_z_PDsentence","mean_scores_DOsentence","mean_scores_PDsentence","human_zdiff","human_sdiff"
"123",123,23,"recommended","non-alternating","longIndefinite",23,1.13286361694336,0.964156627655029,1.09920644760132,1.09920644760132,1.09920644760132,-0.451492804692508,0.984383585761572,36.7,90.95,1.43587639045408,54.25
"124",124,23,"recommended","non-alternating","shortIndefinite",23,1.19013442993164,0.974066257476807,1.36320114135742,1.36320114135742,1.36320114135742,0.265610388145621,1.01642399594241,66.5217391304348,91.65,0.750813607796787,25.1282608695652
"125",125,25,"repeated","non-alternating","longIndefinite",25,1.83993577957153,2.00037431716919,2.08115577697754,2.08115577697754,2.08115577697754,-0.91523681031482,0.897748738805527,21.2,88,1.81298554912035,66.8
"126",126,25,"repeated","non-alternating","shortIndefinite",25,1.75493021011353,1.55882263183594,1.73995494842529,1.73995494842529,1.73995494842529,-0.592090056801864,0.976556823481791,33.8,93.7142857142857,1.56864688028366,59.9142857142857
"127",127,27,"proposed","non-alternating","longIndefinite",27,1.28847932815552,1.00261974334717,1.68140602111816,1.68140602111816,1.68140602111816,-0.218422878437183,1.12328121444828,45.35,94.15,1.34170409288546,48.8
"128",128,27,"proposed","non-alternating","shortIndefinite",27,0.894408988952637,0.913064956665039,1.22412061691284,1.22412061691284,1.22412061691284,0.212030505618082,1.00659966003586,64.1,94.0434782608696,0.794569154417776,29.9434782608696
"129",129,29,"displayed","non-alternating","longIndefinite",29,1.12181882858276,1.33063411712646,1.24362754821777,1.24362754821777,1.24362754821777,-0.621039884028385,0.78158769628551,30.5238095238095,82.3,1.40262758031389,51.7761904761905
"130",130,29,"displayed","non-alternating","shortIndefinite",29,0.683625984191895,1.02368450164795,0.667289257049561,0.667289257049561,0.667289257049561,-0.422605592014619,0.875103690339639,36.2,87.45,1.29770928235426,51.25
"131",131,31,"shouted","non-alternating","longIndefinite",31,2.00820031166077,1.50892353057861,1.08295011520386,1.08295011520386,1.08295011520386,-0.621752079160508,1.03228353701238,33.695652173913,92.8,1.65403561617289,59.104347826087
"132",132,31,"shouted","non-alternating","shortIndefinite",31,0.753897190093994,1.18602705001831,0.387622356414795,0.387622356414795,0.387622356414795,-0.0525869539062222,1.02871123035205,52.65,92.85,1.08129818425827,40.2
"133",133,33,"yelled","non-alternating","longIndefinite",33,1.7777642250061,1.3818039894104,1.20286417007446,1.20286417007446,1.20286417007446,-0.629159003023076,0.721289984555393,31.7,83.9047619047619,1.35044898757847,52.2047619047619
"134",134,33,"yelled","non-alternating","shortIndefinite",33,1.51885957717896,1.46051740646362,1.57434415817261,1.57434415817261,1.57434415817261,0.0152357021530526,0.924950170344992,55.9,89.7,0.90971446819194,33.8
"135",135,35,"communicated","non-alternating","longIndefinite",35,1.74275045394897,1.51350116729736,1.28733968734741,1.28733968734741,1.28733968734741,-0.457378254224732,0.783339554280044,40.2,87.4347826086957,1.24071780850478,47.2347826086957
